Problem,Max depth,Macros,Generator,Solver,Metric,Dist type,Name type,rep,Elapsed,Iterations,Fitness,Test Fitness
LENGTH,12,False,tuple_generator,random_search,discrete_metric,fine,lin,8,1.432776927947998,618,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,str,8,0.1776659488677978,61,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,str,8,1.1003057956695557,394,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,lin,8,84.94854974746704,29646,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,lin,8,51.6956639289856,20565,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,str,8,168.14314603805542,24500,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,str,8,0.5105960369110107,100,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,lin,8,8.490213871002197,2300,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,lin,8,0.943314790725708,200,0.0,0.0
LENGTH,12,False,debruijn_generator,random_search,discrete_metric,fine,lin,8,4.597079038619995,1586,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,str,8,31.704840183258057,8393,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,str,8,3.3744380474090576,1322,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,lin,8,0.0913069248199462,36,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,lin,8,27.485088109970093,10073,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,str,8,0.5402660369873047,100,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,str,8,52.5871479511261,9800,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,lin,8,0.8246257305145264,200,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,lin,8,2.635505199432373,600,0.0,0.0
LENGTH,12,False,tuple_generator,random_search,discrete_metric,fine,lin,9,3.0311696529388428,1170,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,str,9,2.670926809310913,926,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,str,9,1.7319092750549316,680,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,lin,9,157.99788904190063,25053,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,lin,9,10.868277072906494,3828,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,str,9,30.23053789138794,6400,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,str,9,0.5322728157043457,100,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,lin,9,1.144545078277588,300,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,lin,9,0.5724430084228516,100,0.0,0.0
LENGTH,12,False,debruijn_generator,random_search,discrete_metric,fine,lin,9,7.343907833099365,2619,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,str,9,0.7834577560424805,346,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,str,9,2.6455509662628174,1058,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,lin,9,0.5869488716125488,163,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,lin,9,3.74580192565918,1511,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,str,9,0.5560612678527832,100,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,str,9,19.95537495613098,4900,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,lin,9,176.6867651939392,30000,0.0238095238095238,0.9090909090909092
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,lin,9,0.4675080776214599,100,0.0,0.0
LENGTH,12,False,tuple_generator,random_search,discrete_metric,fine,lin,1,2.4632351398468018,796,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,str,1,15.037572145462036,4918,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,str,1,1.303541660308838,457,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,lin,1,1.401113748550415,455,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,lin,1,0.7796638011932373,245,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,str,1,0.7790200710296631,100,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,str,1,0.7386989593505859,100,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,lin,1,1.1865348815917969,200,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,lin,1,3.5816211700439453,700,0.0,0.0
LENGTH,12,False,debruijn_generator,random_search,discrete_metric,fine,lin,1,0.6124567985534668,189,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,str,1,15.101385831832886,4108,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,str,1,3.190924882888794,974,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,lin,1,31.630417823791504,10009,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,lin,1,11.182495832443236,3394,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,str,1,2.2715179920196533,400,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,str,1,54.04585409164429,6400,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,lin,1,12.966336011886597,2400,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,lin,1,2.042656898498535,400,0.0,0.0
LENGTH,12,False,tuple_generator,random_search,discrete_metric,fine,lin,0,0.3029842376708984,105,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,str,0,2.6704020500183105,537,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,str,0,2.2872819900512695,761,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,lin,0,80.9862539768219,18376,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,lin,0,1.0471670627593994,250,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,str,0,64.19100189208984,7400,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,str,0,31.586284637451172,4900,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,lin,0,0.5956659317016602,100,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,lin,0,4.5384840965271,1000,0.0,0.0
LENGTH,12,False,debruijn_generator,random_search,discrete_metric,fine,lin,0,8.350536823272705,2502,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,str,0,11.653228998184204,3529,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,str,0,6.620056867599487,2251,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,lin,0,0.9866249561309814,372,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,lin,0,0.5276370048522949,164,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,str,0,0.7645182609558105,100,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,str,0,25.047322988510132,3400,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,lin,0,0.7301878929138184,100,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,lin,0,0.7507240772247314,100,0.0,0.0
LENGTH,12,False,tuple_generator,random_search,discrete_metric,fine,lin,2,2.6993048191070557,891,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,str,2,3.864246129989624,1195,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,str,2,58.38673186302185,11914,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,lin,2,107.45482325553894,23646,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,lin,2,59.88793182373047,14014,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,str,2,25.07769513130188,5500,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,str,2,8.462158203125,1600,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,lin,2,1.990717887878418,400,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,lin,2,2.427706003189087,500,0.0,0.0
LENGTH,12,False,debruijn_generator,random_search,discrete_metric,fine,lin,2,6.8738648891448975,2129,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,str,2,44.2188458442688,9002,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,str,2,7.909037828445435,2690,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,lin,2,5.678164958953857,1707,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,lin,2,0.3272609710693359,81,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,str,2,0.7588839530944824,100,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,str,2,2.327979803085327,400,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,lin,2,159.85862016677856,24900,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,lin,2,12.226425886154177,2300,0.0,0.0
LENGTH,12,False,tuple_generator,random_search,discrete_metric,fine,lin,3,8.404350996017456,2725,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,str,3,9.629197120666504,2279,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,str,3,1.2587690353393557,359,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,lin,3,7.435033082962036,2392,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,lin,3,0.1704950332641601,42,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,str,3,50.227375745773315,7800,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,str,3,33.83208608627319,5700,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,lin,3,192.89867210388184,30000,0.0241034685479129,0.7272727272727273
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,lin,3,34.067975997924805,7600,0.0,0.0
LENGTH,12,False,debruijn_generator,random_search,discrete_metric,fine,lin,3,0.3015549182891845,88,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,str,3,30.147178888320923,8730,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,str,3,5.068898677825928,1728,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,lin,3,26.94177484512329,9362,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,lin,3,43.841012954711914,10768,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,str,3,1.3451669216156006,200,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,str,3,2.365471124649048,400,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,lin,3,2.237560749053955,400,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,lin,3,1.7789688110351562,300,0.0,0.0
LENGTH,12,False,tuple_generator,random_search,discrete_metric,fine,lin,7,0.5098888874053955,235,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,str,7,5.867119073867798,1960,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,str,7,2.4442548751831055,885,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,lin,7,115.0380928516388,30000,0.0241034685479129,0.7272727272727273
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,lin,7,2.066650867462158,775,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,str,7,0.6173250675201416,100,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,str,7,24.1967248916626,4900,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,lin,7,34.58052730560303,10600,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,lin,7,4.1761860847473145,1000,0.0,0.0
LENGTH,12,False,debruijn_generator,random_search,discrete_metric,fine,lin,7,0.1841871738433838,85,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,str,7,2.275705099105835,921,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,str,7,2.6287729740142822,1106,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,lin,7,84.59977769851685,26420,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,lin,7,0.0321629047393798,9,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,str,7,8.058985948562622,1400,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,str,7,2.919869899749756,600,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,lin,7,22.380165815353394,4700,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,lin,7,36.13349795341492,7600,0.0,0.0
LENGTH,12,False,tuple_generator,random_search,discrete_metric,fine,lin,6,2.390911102294922,728,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,str,6,9.995074033737184,2053,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,str,6,0.1918199062347412,87,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,lin,6,4.515395641326904,1421,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,lin,6,3.707486867904663,1276,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,str,6,0.6901712417602539,100,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,str,6,25.79234790802002,5200,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,lin,6,0.6057279109954834,100,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,lin,6,0.7116260528564453,100,0.0,0.0
LENGTH,12,False,debruijn_generator,random_search,discrete_metric,fine,lin,6,1.658371925354004,493,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,str,6,9.311097145080566,2140,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,str,6,111.8567190170288,30000,0.8571428571428571,0.9090909090909092
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,lin,6,7.020787954330444,2267,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,lin,6,190.32670497894287,30000,0.8571428571428571,0.9090909090909092
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,str,6,73.56000185012817,7000,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,str,6,124.1962251663208,15900,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,lin,6,10.800373077392578,3000,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,lin,6,4.272500038146973,1100,0.0,0.0
LENGTH,12,False,tuple_generator,random_search,discrete_metric,fine,lin,4,1.906633138656616,592,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,str,4,36.41470265388489,7627,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,str,4,0.5396630764007568,148,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,lin,4,31.1009840965271,10431,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,lin,4,58.58587980270386,8902,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,str,4,1.1109168529510498,200,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,str,4,14.70728588104248,2600,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,lin,4,2.525266170501709,500,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,lin,4,2.7547872066497803,600,0.0,0.0
LENGTH,12,False,debruijn_generator,random_search,discrete_metric,fine,lin,4,18.1723210811615,5296,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,str,4,94.7899751663208,24268,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,str,4,11.401939868927002,3604,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,lin,4,53.49297904968262,9003,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,lin,4,134.83876991271973,30000,0.8571428571428571,0.9090909090909092
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,str,4,1.2718420028686523,200,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,str,4,3.0569589138031006,600,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,lin,4,3.033411026000977,500,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,lin,4,2.888529062271118,500,0.0,0.0
LENGTH,12,False,tuple_generator,random_search,discrete_metric,fine,lin,5,3.2342288494110107,1093,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,str,5,28.371679067611694,9815,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,str,5,9.775765180587769,2316,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,shd,fine,lin,5,1.0530281066894531,225,0.0,0.0
LENGTH,12,False,tuple_generator,hill_climber,discrete_metric,fine,lin,5,169.78619289398193,30000,0.1428571428571428,0.1818181818181818
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,str,5,8.47559404373169,1600,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,str,5,4.955410957336426,800,0.0,0.0
LENGTH,12,False,tuple_generator,genetic_algorithm,shd,fine,lin,5,163.13975715637207,30000,0.0241034685479129,0.7272727272727273
LENGTH,12,False,tuple_generator,genetic_algorithm,discrete_metric,fine,lin,5,0.5912272930145264,100,0.0,0.0
LENGTH,12,False,debruijn_generator,random_search,discrete_metric,fine,lin,5,0.839759111404419,246,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,str,5,0.2874958515167236,96,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,str,5,2.4543848037719727,765,0.0,0.0
LENGTH,12,False,debruijn_generator,hill_climber,shd,fine,lin,5,102.25161218643188,30000,0.0241034685479129,0.7272727272727273
LENGTH,12,False,debruijn_generator,hill_climber,discrete_metric,fine,lin,5,72.54077315330505,19910,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,str,5,1.2946312427520752,300,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,str,5,0.6446137428283691,100,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,shd,fine,lin,5,1.6221458911895752,400,0.0,0.0
LENGTH,12,False,debruijn_generator,genetic_algorithm,discrete_metric,fine,lin,5,69.12058115005493,17500,0.0,0.0
